delay,method,level,execute_horizon,mean_inference_s,mean_task_completion_time_s,returned_episode_lengths,returned_episode_returns,returned_episode_solved,worker_id
0,discrete_rtc,worlds/l/hard_lunar_lander.json,8,0.666581492300611,1.4771647,44.31494,0.9448242,0.9291992,1
0,bid,worlds/l/cartpole_thrust.json,8,1.1566079731506762,1.4691895,44.075684,0.81689453,0.8696289,1
0,bid,worlds/l/hard_lunar_lander.json,8,1.1566079731506762,1.4791993,44.375977,0.953125,0.9370117,1
1,naive,worlds/l/cartpole_thrust.json,1,0.6381822221010225,1.4331707,42.995117,0.94873047,0.9638672,1
1,naive,worlds/l/hard_lunar_lander.json,1,0.6381822221010225,1.4555665,43.666992,0.9848633,0.9536133,1
1,discrete_rtc,worlds/l/cartpole_thrust.json,1,0.6561608835007064,1.4498048,43.49414,0.99853516,0.9975586,1
1,discrete_rtc,worlds/l/hard_lunar_lander.json,1,0.6561608835007064,1.4388185,43.16455,0.97314453,0.94921875,1
1,bid,worlds/l/cartpole_thrust.json,1,1.1364822338480736,1.4378581,43.135742,0.95996094,0.97021484,1
1,bid,worlds/l/hard_lunar_lander.json,1,1.1364822338480736,1.4513836,43.541504,0.9868164,0.9667969,1
1,naive,worlds/l/cartpole_thrust.json,2,0.6319073175487574,1.4527996,43.583984,0.95996094,0.9711914,1
1,naive,worlds/l/hard_lunar_lander.json,2,0.6319073175487574,1.4634767,43.904297,0.97802734,0.9560547,1
1,discrete_rtc,worlds/l/cartpole_thrust.json,2,0.6508692451985553,1.4505372,43.516113,0.9868164,0.9897461,1
1,discrete_rtc,worlds/l/hard_lunar_lander.json,2,0.6508692451985553,1.4452312,43.356934,0.97558594,0.9526367,1
1,bid,worlds/l/cartpole_thrust.json,2,1.139659943949664,1.4557618,43.67285,0.9838867,0.9873047,1
1,bid,worlds/l/hard_lunar_lander.json,2,1.139659943949664,1.4548666,43.645996,0.98046875,0.9448242,1
1,naive,worlds/l/cartpole_thrust.json,3,0.6402313717495417,1.516032,45.480957,0.97509766,0.9814453,1
1,naive,worlds/l/hard_lunar_lander.json,3,0.6402313717495417,1.4635417,43.90625,0.9716797,0.95166016,1
1,discrete_rtc,worlds/l/cartpole_thrust.json,3,0.6263102349999826,1.4471029,43.413086,0.9765625,0.9863281,1
1,discrete_rtc,worlds/l/hard_lunar_lander.json,3,0.6263102349999826,1.4484864,43.45459,0.9741211,0.9458008,1
1,bid,worlds/l/cartpole_thrust.json,3,1.146287622099044,1.5203614,45.61084,0.9838867,0.98779297,1
1,bid,worlds/l/hard_lunar_lander.json,3,1.146287622099044,1.4575684,43.72705,0.9746094,0.94628906,1
1,naive,worlds/l/cartpole_thrust.json,4,0.6438390466501005,1.5437989,46.313965,0.9838867,0.98828125,1
1,naive,worlds/l/hard_lunar_lander.json,4,0.6438390466501005,1.4722332,44.166992,0.9501953,0.93115234,1
1,discrete_rtc,worlds/l/cartpole_thrust.json,4,0.6547870003007119,1.4517741,43.553223,0.96875,0.98046875,1
1,discrete_rtc,worlds/l/hard_lunar_lander.json,4,0.6547870003007119,1.4621583,43.864746,0.96777344,0.9404297,1
1,bid,worlds/l/cartpole_thrust.json,4,1.1580515255016508,1.5370117,46.11035,0.98828125,0.9921875,1
